price (€),type,code_postal,nb_pieces,surface,ascenseur,parking,jardin,terrasse
264600.0,Appartement,92140,3.0,63.0,0,0,0,0
264775.0,Studio,85100,0.0,24.0,0,0,0,0
265000.0,Appartement,6220,2.0,39.0,0,0,0,0
265000.0,Appartement,83400,2.0,45.0,0,0,0,0
269000.0,Appartement,6220,4.0,80.0,0,0,0,0
269000.0,Appartement,93370,3.0,68.0,0,0,0,0
269500.0,Appartement,95300,3.0,68.0,0,0,0,0
270000.0,Appartement,6130,3.0,54.0,0,0,0,0
270000.0,Appartement,35400,3.0,60.0,0,0,0,0
270000.0,Appartement,13320,2.0,48.0,0,0,0,0
270000.0,Appartement,92290,4.0,63.0,0,0,0,0
271000.0,Maison,93600,3.0,55.0,0,0,0,0
272000.0,Maison,83230,3.0,59.0,0,0,0,0
274900.0,Appartement,92140,5.0,79.0,0,0,0,0
275000.0,Appartement,83600,3.0,60.0,0,0,0,0
275000.0,Appartement,95870,3.0,60.0,0,0,0,0
275100.0,Appartement,83600,3.0,60.0,0,0,0,0
276000.0,Studio,92340,0.0,32.0,0,0,0,0
279000.0,Appartement,94000,3.0,72.0,0,0,0,0
279000.0,Appartement,13008,3.0,70.0,0,0,0,0
1135000.0,Maison,95760,7.0,205.0,0,0,0,0
1135000.0,Appartement,75009,3.0,86.0,0,0,0,0
1144000.0,Appartement,75008,3.0,83.0,0,0,0,0
1145000.0,Appartement,75015,4.0,102.0,0,0,0,0
1150000.0,Villa,6620,8.0,260.0,0,0,0,0
1150000.0,Maison,83500,5.0,142.0,0,0,0,0
1150000.0,Appartement,6320,3.0,73.0,0,0,0,0
1150000.0,Appartement,75016,3.0,87.0,0,0,0,0
1150000.0,Appartement,75008,3.0,67.0,0,0,0,0
1150000.0,Appartement,6230,4.0,104.0,0,0,0,0
1150000.0,Appartement,75002,4.0,97.0,0,0,0,0
1150000.0,Appartement,75018,3.0,68.0,0,0,0,0
1155000.0,Maison,77300,7.0,166.0,0,0,0,0
1155000.0,Appartement,75015,3.0,106.0,0,0,0,0
1155000.0,Maison,91490,11.0,400.0,0,0,0,0
1155000.0,Maison,77630,11.0,400.0,0,0,0,0
1160000.0,Appartement,75008,2.0,64.0,0,0,0,0
1160000.0,Maison,78120,10.0,304.0,0,0,0,0
1170000.0,Villa,6250,8.0,200.0,0,0,0,0
1170000.0,Appartement,75016,4.0,90.0,0,0,0,0
1170000.0,Appartement,75016,4.0,90.0,0,0,0,0
1180000.0,Appartement,6400,3.0,106.0,0,0,0,0
1180000.0,Appartement,6000,6.0,180.0,0,0,0,0
1180000.0,Maison,77620,18.0,1000.0,0,0,0,0
1190000.0,Villa,83740,7.0,240.0,0,0,0,0
1190000.0,Villa,6650,6.0,164.0,0,0,0,0
1190000.0,Appartement,83140,6.0,150.0,0,0,0,0
1190000.0,Appartement,83110,5.0,100.0,0,0,0,0
1190000.0,Maison,77630,10.0,428.0,0,0,0,0
1195000.0,Maison,77300,12.0,290.0,0,0,0,0
1197000.0,Maison,83440,8.0,270.0,0,0,0,0
1199000.0,Maison,83640,9.0,226.0,0,0,0,0
1200000.0,Appartement,75008,5.0,149.0,0,0,0,0
1210800.0,Maison,44420,8.0,166.0,0,0,0,0
1230000.0,Appartement,92380,5.0,135.0,0,0,0,0
1248000.0,Villa,83230,9.0,262.0,0,0,0,0
1248000.0,Maison,83230,7.0,180.0,0,0,0,0
1250000.0,Appartement,6500,4.0,118.0,0,0,0,0
1250000.0,Villa,83120,5.0,170.0,0,0,0,0
1250000.0,Villa,13008,6.0,150.0,0,0,0,0
1250000.0,Maison,49080,9.0,280.0,0,0,0,0
1250000.0,Appartement,6160,3.0,108.0,0,0,0,0
1260000.0,Appartement,75003,3.0,75.0,0,0,0,0
1260000.0,Maison,75006,2.0,58.0,0,0,0,0
1260000.0,Appartement,75012,5.0,98.0,0,0,0,0
1260000.0,Appartement,75006,2.0,58.0,0,0,0,0
1260000.0,Maison,13760,7.0,225.0,0,0,0,0
1270000.0,Appartement,75016,4.0,91.0,0,0,0,0
1270000.0,Maison,29233,9.0,180.0,0,0,0,0
1290000.0,Appartement,6230,4.0,111.0,0,0,0,0
1290000.0,Maison,6700,9.0,227.0,0,0,0,0
1290000.0,Maison,6570,5.0,200.0,0,0,0,0
1290000.0,Villa,6270,5.0,160.0,0,0,0,0
1295000.0,Villa,6700,7.0,230.0,0,0,0,0
1295000.0,Maison,94100,7.0,185.0,0,0,0,0
1295000.0,Maison,44800,13.0,207.0,0,0,0,0
1295000.0,Appartement,13008,5.0,173.0,0,0,0,0
1295000.0,Maison,6250,6.0,178.0,0,0,0,0
1295000.0,Appartement,13008,5.0,173.0,0,0,0,0
1298000.0,Maison,93360,7.0,300.0,0,0,0,0
1300000.0,Appartement,75014,5.0,105.0,0,0,0,0
1300000.0,Appartement,75007,2.0,76.0,0,0,0,0
1300000.0,Appartement,75010,5.0,100.0,0,0,0,0
1315000.0,Appartement,75008,4.0,99.0,0,0,0,0
1335000.0,Appartement,75003,4.0,90.0,0,0,0,0
