price,type,code_postal,nb_pieces,surface
264600.0,0,92140,3.0,63.0
264775.0,2,85100,0.0,24.0
265000.0,0,6220,2.0,39.0
265000.0,0,83400,2.0,45.0
269000.0,0,6220,4.0,80.0
269000.0,0,93370,3.0,68.0
269500.0,0,95300,3.0,68.0
270000.0,0,6130,3.0,54.0
270000.0,0,35400,3.0,60.0
270000.0,0,13320,2.0,48.0
270000.0,0,92290,4.0,63.0
271000.0,1,93600,3.0,55.0
272000.0,1,83230,3.0,59.0
274900.0,0,92140,5.0,79.0
275000.0,0,83600,3.0,60.0
275000.0,0,95870,3.0,60.0
275100.0,0,83600,3.0,60.0
276000.0,2,92340,0.0,32.0
279000.0,0,94000,3.0,72.0
279000.0,0,13008,3.0,70.0
1135000.0,1,95760,7.0,205.0
1135000.0,0,75009,3.0,86.0
1144000.0,0,75008,3.0,83.0
1145000.0,0,75015,4.0,102.0
1150000.0,3,6620,8.0,260.0
1150000.0,1,83500,5.0,142.0
1150000.0,0,6320,3.0,73.0
1150000.0,0,75016,3.0,87.0
1150000.0,0,75008,3.0,67.0
1150000.0,0,6230,4.0,104.0
1150000.0,0,75002,4.0,97.0
1150000.0,0,75018,3.0,68.0
1155000.0,1,77300,7.0,166.0
1155000.0,0,75015,3.0,106.0
1155000.0,1,91490,11.0,400.0
1155000.0,1,77630,11.0,400.0
1160000.0,0,75008,2.0,64.0
1160000.0,1,78120,10.0,304.0
1170000.0,3,6250,8.0,200.0
1170000.0,0,75016,4.0,90.0
1170000.0,0,75016,4.0,90.0
1180000.0,0,6400,3.0,106.0
1180000.0,0,6000,6.0,180.0
1180000.0,1,77620,18.0,1000.0
1190000.0,3,83740,7.0,240.0
1190000.0,3,6650,6.0,164.0
1190000.0,0,83140,6.0,150.0
1190000.0,0,83110,5.0,100.0
1190000.0,1,77630,10.0,428.0
1195000.0,1,77300,12.0,290.0
1197000.0,1,83440,8.0,270.0
1199000.0,1,83640,9.0,226.0
1200000.0,0,75008,5.0,149.0
1210800.0,1,44420,8.0,166.0
1230000.0,0,92380,5.0,135.0
1248000.0,3,83230,9.0,262.0
1248000.0,1,83230,7.0,180.0
1250000.0,0,6500,4.0,118.0
1250000.0,3,83120,5.0,170.0
1250000.0,3,13008,6.0,150.0
1250000.0,1,49080,9.0,280.0
1250000.0,0,6160,3.0,108.0
1260000.0,0,75003,3.0,75.0
1260000.0,1,75006,2.0,58.0
1260000.0,0,75012,5.0,98.0
1260000.0,0,75006,2.0,58.0
1260000.0,1,13760,7.0,225.0
1270000.0,0,75016,4.0,91.0
1270000.0,1,29233,9.0,180.0
1290000.0,0,6230,4.0,111.0
1290000.0,1,6700,9.0,227.0
1290000.0,1,6570,5.0,200.0
1290000.0,3,6270,5.0,160.0
1295000.0,3,6700,7.0,230.0
1295000.0,1,94100,7.0,185.0
1295000.0,1,44800,13.0,207.0
1295000.0,0,13008,5.0,173.0
1295000.0,1,6250,6.0,178.0
1295000.0,0,13008,5.0,173.0
1298000.0,1,93360,7.0,300.0
1300000.0,0,75014,5.0,105.0
1300000.0,0,75007,2.0,76.0
1300000.0,0,75010,5.0,100.0
1315000.0,0,75008,4.0,99.0
1335000.0,0,75003,4.0,90.0
1340000.0,0,75007,3.0,80.0
1349000.0,0,75016,2.0,79.0
1350000.0,0,6200,3.0,99.0
1350000.0,1,92310,6.0,150.0
1350000.0,1,92310,7.0,160.0
1350000.0,0,78000,5.0,152.0
1350000.0,1,13007,8.0,214.0
1350000.0,1,92380,7.0,157.0
1350000.0,0,75008,2.0,70.0
1350000.0,0,75006,4.0,73.0
1359000.0,0,75116,5.0,108.0
1365000.0,0,92100,5.0,185.0
1365000.0,1,84170,14.0,400.0
1369000.0,0,75013,5.0,140.0
