price (€),type,code_postal,nb_pieces,nb_chambres,surface,etage,ascenseur,parking,jardin,terrasse
264600.0,Appartement à vendre,92140,3,,63,,false,false,false,false
264775.0,Studio à vendre,85100,,,24,,false,false,false,false
265000.0,Appartement à vendre,06220,2,,39,,false,false,false,false
265000.0,Appartement à vendre,83400,2,,45,,false,false,false,false
269000.0,Appartement à vendre,06220,4,,80,,false,false,false,false
269000.0,Appartement à vendre,93370,3,,68,,false,false,false,false
269500.0,Appartement à vendre,95300,3,,68,,false,false,false,false
270000.0,Appartement à vendre,06130,3,,54,,false,false,false,false
270000.0,Appartement à vendre,35400,3,,60,,false,false,false,false
270000.0,Appartement à vendre,13320,2,,48,,false,false,false,false
270000.0,Appartement à vendre,92290,4,,63,,false,false,false,false
271000.0,Maison à vendre,93600,3,,55,,false,false,false,false
272000.0,Maison à vendre,83230,3,,59,,false,false,false,false
274900.0,Appartement à vendre,92140,5,,79,,false,false,false,false
275000.0,Appartement à vendre,83600,3,,60,,false,false,false,false
275000.0,Appartement à vendre,95870,3,,60,,false,false,false,false
275100.0,Appartement à vendre,83600,3,,60,,false,false,false,false
276000.0,Studio à vendre,92340,,,32,,false,false,false,false
279000.0,Appartement à vendre,94000,3,,72,,false,false,false,false
279000.0,Appartement à vendre,13008,3,,70,,false,false,false,false
1135000.0,Maison à vendre,95760,7,,205,,false,false,false,false
1135000.0,Appartement à vendre,75009,3,,86,,false,false,false,false
1144000.0,Appartement à vendre,75008,3,,83,,false,false,false,false
1145000.0,Appartement à vendre,75015,4,,102,,false,false,false,false
1150000.0,Villa à vendre,06620,8,,260,,false,false,false,false
1150000.0,Maison à vendre,83500,5,,142,,false,false,false,false
1150000.0,Appartement à vendre,06320,3,,73,,false,false,false,false
1150000.0,Appartement à vendre,75016,3,,87,,false,false,false,false
1150000.0,Appartement à vendre,75008,3,,67,,false,false,false,false
1150000.0,Appartement à vendre,06230,4,,104,,false,false,false,false
1150000.0,Appartement à vendre,75002,4,,97,,false,false,false,false
1150000.0,Appartement à vendre,75018,3,,68,,false,false,false,false
1155000.0,Maison à vendre,77300,7,,166,,false,false,false,false
1155000.0,Appartement à vendre,75015,3,,106,,false,false,false,false
1155000.0,Maison à vendre,91490,11,,400,,false,false,false,false
1155000.0,Maison à vendre,77630,11,,400,,false,false,false,false
1160000.0,Appartement à vendre,75008,2,,64,,false,false,false,false
1160000.0,Maison à vendre,78120,10,,304,,false,false,false,false
1170000.0,Villa à vendre,06250,8,,200,,false,false,false,false
1170000.0,Appartement à vendre,75016,4,,90,,false,false,false,false
1170000.0,Appartement à vendre,75016,4,,90,,false,false,false,false
1180000.0,Appartement à vendre,06400,3,,106,,false,false,false,false
1180000.0,Appartement à vendre,06000,6,,180,,false,false,false,false
1180000.0,Maison à vendre,77620,18,,1000,,false,false,false,false
1190000.0,Villa à vendre,83740,7,,240,,false,false,false,false
1190000.0,Villa à vendre,06650,6,,164,,false,false,false,false
1190000.0,Appartement à vendre,83140,6,,150,,false,false,false,false
1190000.0,Appartement à vendre,83110,5,,100,,false,false,false,false
1190000.0,Maison à vendre,77630,10,,428,,false,false,false,false
1195000.0,Maison à vendre,77300,12,,290,,false,false,false,false
1197000.0,Maison à vendre,83440,8,,270,,false,false,false,false
1199000.0,Maison à vendre,83640,9,,226,,false,false,false,false
1200000.0,Appartement à vendre,75008,5,,149,,false,false,false,false
1210800.0,Maison à vendre,44420,8,,166,,false,false,false,false
1230000.0,Appartement à vendre,92380,5,,135,,false,false,false,false
1248000.0,Villa à vendre,83230,9,,262,,false,false,false,false
1248000.0,Maison à vendre,83230,7,,180,,false,false,false,false
1250000.0,Appartement à vendre,06500,4,,118,,false,false,false,false
1250000.0,Villa à vendre,83120,5,,170,,false,false,false,false
1250000.0,Villa à vendre,13008,6,,150,,false,false,false,false
1250000.0,Maison à vendre,49080,9,,280,,false,false,false,false
1250000.0,Appartement à vendre,06160,3,,108,,false,false,false,false
1260000.0,Appartement à vendre,75003,3,,75,,false,false,false,false
1260000.0,Maison à vendre,75006,2,,58,,false,false,false,false
1260000.0,Appartement à vendre,75012,5,,98,,false,false,false,false
1260000.0,Appartement à vendre,75006,2,,58,,false,false,false,false
1260000.0,Maison à vendre,13760,7,,225,,false,false,false,false
1270000.0,Appartement à vendre,75016,4,,91,,false,false,false,false
1270000.0,Maison à vendre,29233,9,,180,,false,false,false,false
1290000.0,Appartement à vendre,06230,4,,111,,false,false,false,false
1290000.0,Maison à vendre,06700,9,,227,,false,false,false,false
1290000.0,Maison à vendre,06570,5,,200,,false,false,false,false
1290000.0,Villa à vendre,06270,5,,160,,false,false,false,false
1295000.0,Villa à vendre,06700,7,,230,,false,false,false,false
1295000.0,Maison à vendre,94100,7,,185,,false,false,false,false
1295000.0,Maison à vendre,44800,13,,207,,false,false,false,false
1295000.0,Appartement à vendre,13008,5,,173,,false,false,false,false
1295000.0,Maison à vendre,06250,6,,178,,false,false,false,false
1295000.0,Appartement à vendre,13008,5,,173,,false,false,false,false
1298000.0,Maison à vendre,93360,7,,300,,false,false,false,false
1300000.0,Appartement à vendre,75014,5,,105,,false,false,false,false
1300000.0,Appartement à vendre,75007,2,,76,,false,false,false,false
1300000.0,Appartement à vendre,75010,5,,100,,false,false,false,false
1315000.0,Appartement à vendre,75008,4,,99,,false,false,false,false
1335000.0,Appartement à vendre,75003,4,,90,,false,false,false,false
1340000.0,Appartement à vendre,75007,3,,80,,false,false,false,false
1349000.0,Appartement à vendre,75016,2,,79,,false,false,false,false
1350000.0,Appartement à vendre,06200,3,,99,,false,false,false,false
1350000.0,Maison à vendre,92310,6,,150,,false,false,false,false
1350000.0,Maison à vendre,92310,7,,160,,false,false,false,false
1350000.0,Appartement à vendre,78000,5,,152,,false,false,false,false
1350000.0,Maison à vendre,13007,8,,214,,false,false,false,false
1350000.0,Maison à vendre,92380,7,,157,,false,false,false,false
1350000.0,Appartement à vendre,75008,2,,70,,false,false,false,false
1350000.0,Appartement à vendre,75006,4,,73,,false,false,false,false
1359000.0,Appartement à vendre,75116,5,,108,,false,false,false,false
1365000.0,Appartement à vendre,92100,5,,185,,false,false,false,false
1365000.0,Maison à vendre,84170,14,,400,,false,false,false,false
1369000.0,Appartement à vendre,75013,5,,140,,false,false,false,false
1370000.0,Maison à vendre,78170,8,,184,,false,false,false,false
1380000.0,Appartement à vendre,06000,5,,174,,false,false,false,false
1380000.0,Appartement à vendre,06500,5,,120,,false,false,false,false
1380000.0,Villa à vendre,06250,6,,187,,false,false,false,false
1380000.0,Appartement à vendre,75002,6,,112,,false,false,false,false
1390000.0,Villa à vendre,06210,6,,300,,false,false,false,false
1390000.0,Maison à vendre,78810,10,,283,,false,false,false,false
1390500.0,Appartement à vendre,44500,5,,145,,false,false,false,false
1395000.0,Appartement à vendre,75004,4,,101,,false,false,false,false
1398000.0,Appartement à vendre,83400,4,,139,,false,false,false,false
1399000.0,Maison à vendre,92400,9,,170,,false,false,false,false
1400000.0,Appartement à vendre,75017,4,,95,,false,false,false,false
1400000.0,Maison à vendre,59000,14,,404,,false,false,false,false
1400000.0,Appartement à vendre,75014,3,,76,,false,false,false,false
1425000.0,Appartement à vendre,06000,5,,171,,false,false,false,false
1425000.0,Appartement à vendre,06800,5,,185,,false,false,false,false
1430000.0,Appartement à vendre,75020,4,,130,,false,false,false,false
1450000.0,Appartement à vendre,75016,4,,122,,false,false,false,false
1450000.0,Maison à vendre,59910,8,,240,,false,false,false,false
1450000.0,Villa à vendre,13600,8,,350,,false,false,false,false
1455000.0,Appartement à vendre,75016,4,,132,,false,false,false,false
1470000.0,Maison à vendre,83370,5,,185,,false,false,false,false
1475000.0,Appartement à vendre,75008,4,,96,,false,false,false,false
1480000.0,Maison à vendre,78000,12,,195,,false,false,false,false
1490000.0,Appartement à vendre,92100,6,,265,,false,false,false,false
1490000.0,Appartement à vendre,75017,4,,118,,false,false,false,false
1495000.0,Villa à vendre,83210,8,,320,,false,false,false,false
1495000.0,Appartement à vendre,92200,5,,140,,false,false,false,false
1500000.0,Maison à vendre,78670,7,,245,,false,false,false,false
1500000.0,Appartement à vendre,92100,6,,144,,false,false,false,false
1512000.0,Appartement à vendre,75008,4,,125,,false,false,false,false
1520000.0,Appartement à vendre,75008,3,,77,,false,false,false,false
1520000.0,Villa à vendre,06330,4,,150,,false,false,false,false
1549600.0,Villa à vendre,83150,4,,330,,false,false,false,false
1550000.0,Appartement à vendre,75003,3,,98,,false,false,false,false
1550000.0,Appartement à vendre,75003,4,,98,,false,false,false,false
1559000.0,Maison à vendre,13210,7,,200,,false,false,false,false
1560000.0,Maison à vendre,78950,8,,230,,false,false,false,false
1560000.0,Maison à vendre,77300,11,,290,,false,false,false,false
1560000.0,Appartement à vendre,78000,6,,196,,false,false,false,false
1560000.0,Maison à vendre,83230,6,,200,,false,false,false,false
1575000.0,Maison à vendre,13210,7,,230,,false,false,false,false
1585000.0,Appartement à vendre,83990,4,,93,,false,false,false,false
1590000.0,Appartement à vendre,06110,5,,207,,false,false,false,false
1590000.0,Appartement à vendre,75017,6,,142,,false,false,false,false
1595000.0,Maison à vendre,13100,6,,228,,false,false,false,false
1595000.0,Maison à vendre,92310,10,,220,,false,false,false,false
1595000.0,Appartement à vendre,75017,5,,129,,false,false,false,false
1600000.0,Maison à vendre,06810,6,,273,,false,false,false,false
1600000.0,Appartement à vendre,75014,3,,80,,false,false,false,false
1615000.0,Appartement à vendre,75017,5,,119,,false,false,false,false
1620000.0,Appartement à vendre,75016,3,,81,,false,false,false,false
1630000.0,Villa à vendre,83440,6,,296,,false,false,false,false
1640000.0,Maison à vendre,78350,12,,349,,false,false,false,false
1650000.0,Appartement à vendre,75009,5,,121,,false,false,false,false
1650000.0,Appartement à vendre,75016,5,,122,,false,false,false,false
1650000.0,Villa à vendre,83110,5,,240,,false,false,false,false
1650000.0,Maison à vendre,13012,9,,220,,false,false,false,false
1675000.0,Appartement à vendre,75008,3,,78,,false,false,false,false
1680000.0,Appartement à vendre,75006,3,,86,,false,false,false,false
1680000.0,Maison à vendre,83120,10,,220,,false,false,false,false
1680000.0,Maison à vendre,83840,6,,246,,false,false,false,false
1690000.0,Appartement à vendre,06110,5,,140,,false,false,false,false
1690000.0,Villa à vendre,06140,11,,298,,false,false,false,false
1695000.0,Maison à vendre,83120,7,,250,,false,false,false,false
1695000.0,Maison à vendre,92150,8,,223,,false,false,false,false
1695000.0,Maison à vendre,13008,5,,200,,false,false,false,false
1697280.0,Appartement à vendre,75006,5,,109,,false,false,false,false
1699000.0,Maison à vendre,93500,12,,300,,false,false,false,false
1700000.0,Villa à vendre,06210,5,,174,,false,false,false,false
1700000.0,Maison à vendre,84440,11,,261,,false,false,false,false
1725000.0,Appartement à vendre,75004,4,,98,,false,false,false,false
1740480.0,Appartement à vendre,75007,2,,81,,false,false,false,false
1750000.0,Appartement à vendre,06400,5,,177,,false,false,false,false
1750000.0,Maison à vendre,06530,9,,230,,false,false,false,false
1750000.0,Maison à vendre,83110,12,,269,,false,false,false,false
1760000.0,Appartement à vendre,75008,5,,128,,false,false,false,false
1770000.0,Maison à vendre,78430,11,,245,,false,false,false,false
1780000.0,Maison à vendre,13100,8,,280,,false,false,false,false
1780000.0,Appartement à vendre,06400,3,,92,,false,false,false,false
1785000.0,Appartement à vendre,75004,5,,100,,false,false,false,false
1785000.0,Villa à vendre,06270,6,,150,,false,false,false,false
1790000.0,Villa à vendre,06570,7,,350,,false,false,false,false
1790000.0,Appartement à vendre,75005,4,,101,,false,false,false,false
1800000.0,Villa à vendre,06300,13,,366,,false,false,false,false
1800000.0,Maison à vendre,06370,7,,300,,false,false,false,false
1800000.0,Appartement à vendre,06400,4,,106,,false,false,false,false
1811000.0,Appartement à vendre,75016,6,,178,,false,false,false,false
1850000.0,Villa à vendre,06810,6,,463,,false,false,false,false
1850000.0,Maison à vendre,06800,9,,298,,false,false,false,false
1850000.0,Appartement à vendre,06400,5,,210,,false,false,false,false
1850000.0,Appartement à vendre,06400,7,,333,,false,false,false,false
1870000.0,Appartement à vendre,75017,4,,116,,false,false,false,false
1872000.0,Maison à vendre,62520,8,,320,,false,false,false,false
1890000.0,Appartement à vendre,75005,4,,124,,false,false,false,false
1890000.0,Appartement à vendre,75016,3,,90,,false,false,false,false
1890000.0,Villa à vendre,92380,12,,258,,false,false,false,false
1895000.0,Appartement à vendre,75017,5,,138,,false,false,false,false
1950000.0,Appartement à vendre,75017,5,,140,,false,false,false,false
1950000.0,Appartement à vendre,06230,4,,144,,false,false,false,false
1950000.0,Appartement à vendre,75007,3,,90,,false,false,false,false
1950000.0,Appartement à vendre,06230,4,,144,,false,false,false,false
1950000.0,Appartement à vendre,75017,5,,140,,false,false,false,false
1950000.0,Appartement à vendre,06190,5,,155,,false,false,false,false
1950000.0,Appartement à vendre,75007,3,,90,,false,false,false,false
1950000.0,Appartement à vendre,75006,5,,115,,false,false,false,false
1960000.0,Villa à vendre,06740,7,,230,,false,false,false,false
1965000.0,Appartement à vendre,75016,4,,201,,false,false,false,false
1975000.0,Villa à vendre,13011,8,,500,,false,false,false,false
1980000.0,Appartement à vendre,75007,4,,117,,false,false,false,false
1980000.0,Appartement à vendre,06000,4,,182,,false,false,false,false
1990000.0,Maison à vendre,77470,15,,462,,false,false,false,false
1990000.0,Villa à vendre,83240,6,,195,,false,false,false,false
1990000.0,Appartement à vendre,75007,4,,117,,false,false,false,false
1990000.0,Appartement à vendre,75016,6,,160,,false,false,false,false
1995000.0,Appartement à vendre,75116,4,,157,,false,false,false,false
1995000.0,Appartement à vendre,75016,6,,130,,false,false,false,false
2000000.0,Appartement à vendre,75015,5,,124,,false,false,false,false
2050000.0,Villa à vendre,13100,8,,195,,false,false,false,false
2080000.0,Appartement à vendre,75015,5,,152,,false,false,false,false
2100000.0,Appartement à vendre,75006,4,,106,,false,false,false,false
280000.0,Appartement à vendre,78400,3,,66,,false,false,false,false
286000.0,Appartement à vendre,83160,3,,56,,false,false,false,false
287000.0,Appartement à vendre,78510,4,,75,,false,false,false,false
288750.0,Maison à vendre,44600,5,,111,,false,false,false,false
289000.0,Appartement à vendre,75019,3,,32,,false,false,false,false
289000.0,Appartement à vendre,44500,2,,45,,false,false,false,false
290000.0,Appartement à vendre,95100,3,,86,,false,false,false,false
290000.0,Appartement à vendre,93220,3,,61,,false,false,false,false
293000.0,Villa à vendre,13370,3,,74,,false,false,false,false
295000.0,Appartement à vendre,94000,4,,74,,false,false,false,false
296000.0,Appartement à vendre,77380,4,,74,,false,false,false,false
296000.0,Appartement à vendre,56170,2,,52,,false,false,false,false
298000.0,Maison à vendre,78550,4,,99,,false,false,false,false
298000.0,Studio à vendre,92800,,,40,,false,false,false,false
298000.0,Appartement à vendre,83700,3,,39,,false,false,false,false
299000.0,Appartement à vendre,06220,4,,74,,false,false,false,false
299000.0,Appartement à vendre,83140,3,,50,,false,false,false,false
299000.0,Appartement à vendre,13009,4,,86,,false,false,false,false
299000.0,Appartement à vendre,93220,3,,62,,false,false,false,false
299000.0,Appartement à vendre,94600,4,,83,,false,false,false,false
2100000.0,Villa à vendre,83120,6,,250,,false,false,false,false
2100000.0,Appartement à vendre,75006,4,,102,,false,false,false,false
2100000.0,Maison à vendre,83120,6,,300,,false,false,false,false
2100000.0,Appartement à vendre,75002,3,,116,,false,false,false,false
2100000.0,Appartement à vendre,75017,5,,154,,false,false,false,false
2100000.0,Appartement à vendre,75008,3,,121,,false,false,false,false
2130000.0,Appartement à vendre,75017,7,,190,,false,false,false,false
2130000.0,Appartement à vendre,75008,7,,190,,false,false,false,false
2160000.0,Appartement à vendre,78000,10,,265,,false,false,false,false
2200000.0,Villa à vendre,06330,7,,333,,false,false,false,false
2200000.0,Appartement à vendre,75003,4,,148,,false,false,false,false
2200000.0,Appartement à vendre,75007,6,,159,,false,false,false,false
2200000.0,Appartement à vendre,75003,3,,97,,false,false,false,false
2200000.0,Appartement à vendre,06400,4,,165,,false,false,false,false
2200000.0,Appartement à vendre,75003,3,,98,,false,false,false,false
2240000.0,Appartement à vendre,75116,4,,146,,false,false,false,false
2250000.0,Villa à vendre,06600,6,,300,,false,false,false,false
2250000.0,Villa à vendre,83680,6,,300,,false,false,false,false
2260000.0,Appartement à vendre,75016,7,,208,,false,false,false,false
2290000.0,Appartement à vendre,75017,5,,152,,false,false,false,false
2290000.0,Maison à vendre,83150,5,,130,,false,false,false,false
2290000.0,Maison à vendre,92210,8,,236,,false,false,false,false
2300000.0,Appartement à vendre,75016,7,,192,,false,false,false,false
2300000.0,Villa à vendre,83680,7,,250,,false,false,false,false
2300000.0,Maison à vendre,13100,10,,350,,false,false,false,false
2315000.0,Appartement à vendre,75008,2,,68,,false,false,false,false
2350000.0,Maison à vendre,78110,12,,290,,false,false,false,false
2380000.0,Maison à vendre,13100,11,,431,,false,false,false,false
2380000.0,Appartement à vendre,06400,4,,110,,false,false,false,false
2390000.0,Appartement à vendre,13100,6,,181,,false,false,false,false
2390000.0,Villa à vendre,06160,8,,200,,false,false,false,false
2395000.0,Appartement à vendre,75017,7,,224,,false,false,false,false
2400000.0,Appartement à vendre,75007,5,,152,,false,false,false,false
2400000.0,Villa à vendre,83680,6,,210,,false,false,false,false
2480000.0,Maison à vendre,83310,7,,130,,false,false,false,false
2490000.0,Villa à vendre,06810,5,,256,,false,false,false,false
2490000.0,Maison à vendre,06000,7,,350,,false,false,false,false
2495000.0,Appartement à vendre,75008,4,,155,,false,false,false,false
2496000.0,Maison à vendre,83230,11,,365,,false,false,false,false
2496000.0,Maison à vendre,83230,10,,365,,false,false,false,false
2500000.0,Appartement à vendre,75016,6,,185,,false,false,false,false
2500000.0,Appartement à vendre,75001,3,,106,,false,false,false,false
2500000.0,Villa à vendre,06140,6,,195,,false,false,false,false
2500000.0,Appartement à vendre,75006,3,,108,,false,false,false,false
2550000.0,Maison à vendre,06210,6,,210,,false,false,false,false
2580000.0,Appartement à vendre,06400,4,,84,,false,false,false,false
2590000.0,Villa à vendre,44510,7,,188,,false,false,false,false
2590000.0,Maison à vendre,78000,12,,284,,false,false,false,false
2597000.0,Maison à vendre,06400,8,,260,,false,false,false,false
2600000.0,Appartement à vendre,75008,4,,145,,false,false,false,false
2600000.0,Appartement à vendre,75008,4,,125,,false,false,false,false
2630000.0,Appartement à vendre,75116,5,,134,,false,false,false,false
2650000.0,Appartement à vendre,75007,5,,159,,false,false,false,false
2700000.0,Appartement à vendre,75008,5,,198,,false,false,false,false
